Date,AAVE-USD,ADA-USD,ALGO-USD,ATOM-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CHR-USD,DASH-USD,DOGE-USD,DOT-USD,EOS-USD,ETC-USD,ETH-USD,FTT-USD,LINK-USD,LTC-USD,NEO-USD,PEPE24478-USD,SOL-USD,THETA-USD,TRX-USD,UNI-USD,USDT-USD,VET-USD,WIF-USD,XLM-USD,XMR-USD,XRP-USD
2024-03-12,135.27450561523438,0.7480549812316895,0.31696298718452454,13.41441535949707,55.59136962890625,434.3209533691406,537.86572265625,71481.2890625,0.4441570043563843,42.484615325927734,0.16814400255680084,10.726625442504883,1.1853090524673462,36.86835479736328,3980.273193359375,2.36423397064209,20.66677474975586,97.53800201416016,17.750024795532227,7.999999979801942e-06,151.01544189453125,3.417825937271118,0.1314540058374405,0.00022899999748915434,1.0000920295715332,0.04872399941086769,2.172318935394287,0.1493930071592331,145.11422729492188,0.6882089972496033
2024-03-13,142.76101684570312,0.7645800113677979,0.31887900829315186,14.11928939819336,54.948246002197266,442.5234069824219,630.5613403320312,73083.5,0.45057401061058044,42.82269287109375,0.1691579967737198,11.32108211517334,1.183547019958496,36.565521240234375,4006.45703125,2.416735887527466,20.7681884765625,97.32198333740234,18.117809295654297,9.000000318337698e-06,163.83981323242188,3.372283935546875,0.13199299573898315,0.00023400000645779073,1.0005170106887817,0.04918200150132179,2.6393449306488037,0.15086500346660614,150.22093200683594,0.6909499764442444
2024-03-14,139.3148956298828,0.7504739761352539,0.31176599860191345,13.656614303588867,54.05936813354492,441.2276916503906,602.9887084960938,71396.59375,0.4189690053462982,40.648746490478516,0.17733000218868256,11.542901992797852,1.1396880149841309,35.100746154785156,3883.140380859375,2.546571969985962,20.906293869018555,94.11614227294922,17.2708797454834,9.999999747378752e-06,176.67974853515625,3.3534929752349854,0.12911200523376465,0.00022899999748915434,0.9996790289878845,0.047269999980926514,3.1656808853149414,0.1445470005273819,146.6106719970703,0.669966995716095
2024-03-15,128.9084930419922,0.7264410257339478,0.29856398701667786,12.624008178710938,58.48988723754883,416.3032531738281,632.8027954101562,69403.7734375,0.40701499581336975,38.81619644165039,0.1632310003042221,10.838363647460938,1.0645309686660767,33.24047088623047,3735.22021484375,2.291210889816284,19.60538673400879,89.71339416503906,16.182937622070312,9.000000318337698e-06,182.96469116210938,3.1032309532165527,0.12637099623680115,0.00022200000239536166,1.0001239776611328,0.04456400126218796,2.8036909103393555,0.1368190050125122,142.0350799560547,0.6337370276451111
2024-03-16,118.89635467529297,0.6595349907875061,0.2671560049057007,11.930627822875977,53.49980545043945,388.6847839355469,576.7752075195312,65315.1171875,0.36221200227737427,36.047786712646484,0.14236800372600555,9.696842193603516,0.9863200187683105,30.682331085205078,3522.860107421875,2.0016651153564453,18.12628936767578,84.13844299316406,14.87212085723877,7.000000096013537e-06,181.88034057617188,2.749095916748047,0.1252020001411438,0.00020900000527035445,0.999243974685669,0.040470998734235764,2.2149460315704346,0.129271999001503,139.5149688720703,0.6030600070953369
2024-03-17,127.89170837402344,0.681098997592926,0.2754270136356354,12.268336296081543,58.115814208984375,402.6595153808594,571.0855712890625,68390.625,0.38088399171829224,37.14015579223633,0.15433000028133392,10.115609169006348,1.0149660110473633,31.946256637573242,3642.4130859375,2.094399929046631,18.674497604370117,85.85752868652344,15.459418296813965,7.999999979801942e-06,202.12356567382812,3.1372170448303223,0.12619799375534058,0.00021899999410379678,0.9993709921836853,0.042082998901605606,2.9975149631500244,0.13215599954128265,140.99462890625,0.6192319989204407
2024-03-18,123.39716339111328,0.6612579822540283,0.2517150044441223,11.730895042419434,60.689945220947266,401.5744934082031,554.55712890625,67548.59375,0.3605090081691742,35.49697494506836,0.14367300271987915,9.907398223876953,0.9856020212173462,31.391984939575195,3517.985107421875,1.9515759944915771,18.32435417175293,87.1122055053711,14.8642578125,7.000000096013537e-06,195.9927520751953,2.9956319332122803,0.12409599870443344,0.00021699999342672527,0.9999160170555115,0.040768999606370926,2.5519449710845947,0.13531899452209473,141.03848266601562,0.6475650072097778
2024-03-19,109.33000183105469,0.5869140028953552,0.23016899824142456,10.87870979309082,53.52589416503906,359.23968505859375,507.0765686035156,61912.7734375,0.32818400859832764,32.707672119140625,0.1287280023097992,8.764359474182129,0.9080039858818054,27.717350006103516,3157.6181640625,1.7689930200576782,16.809295654296875,78.58637237548828,13.33633804321289,7.000000096013537e-06,170.0162811279297,2.565171003341675,0.11238200217485428,0.00019799999427050352,0.9994800090789795,0.03793700039386749,2.3220338821411133,0.12077199667692184,133.99168395996094,0.5844410061836243
2024-03-20,120.1209716796875,0.6394810080528259,0.2505120038986206,11.749960899353027,57.03071975708008,409.9807434082031,556.7005004882812,67913.671875,0.3765780031681061,35.79776382446289,0.15218600630760193,9.491859436035156,1.0006120204925537,30.61635398864746,3513.39306640625,1.8926600217819214,18.406482696533203,84.78901672363281,14.7477388381958,7.999999979801942e-06,191.54962158203125,3.039773941040039,0.12092199921607971,0.00021699999342672527,1.0002590417861938,0.042433999478816986,2.604635000228882,0.13091599941253662,139.61077880859375,0.6121619939804077
2024-03-21,123.48141479492188,0.6318680047988892,0.24854600429534912,11.634140968322754,53.86556625366211,414.4288024902344,553.2482299804688,65491.390625,0.41091400384902954,35.71530532836914,0.15529200434684753,9.172893524169922,1.0125089883804321,30.320138931274414,3492.9912109375,1.9963630437850952,18.43138313293457,85.70162200927734,14.892288208007812,7.999999979801942e-06,179.2207489013672,2.85050106048584,0.12112600356340408,0.0002099999983329326,0.9998049736022949,0.0415709987282753,2.2884891033172607,0.13321299850940704,138.21041870117188,0.6406909823417664
